id	wa_code	sku	title_en	missing
7045	BF-58589	NULL	Joyroom S-A42 Crystal-Clear Series 3A Type-C to Type-C Fast 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7046	BF-58592	NULL	Joyroom S-A42 Crystal-Clear Series 3AW Type-C to Type-C Fast	no_short_desc_ar_en, no_long_desc_ar, no_gender
7047	BF-58594	NULL	Joyroom SA32-CC3 Starry Series 60W Fast Charging Data Cable 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7048	BF-58597	NULL	JOYROOM USB-C to USB-C CABLE 60W LONG LASTING SERIES 1M BLAC	no_short_desc_ar_en, no_long_desc_ar, no_gender
7053	BF-58606	NULL	JOYROOM S-A28 Flash Series 60W Fast Charging Data Cable	no_short_desc_ar_en, no_long_desc_ar, no_gender
7054	BF-58611	NULL	JOYROOM S-A28 Flash Series 60W Fast Charging Data Cable	no_short_desc_ar_en, no_long_desc_ar, no_gender
7056	BF-58630	NULL	JOYROOM SA26-AC3 Flash Charge Series 3A	no_short_desc_ar_en, no_long_desc_ar, no_gender
7057	BF-58632	NULL	Joyroom cable organiser JR-ZS368 magnetic black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7062	BF-58647	NULL	JOYROOM S-A53 Fluorescent Series 3A Fast Charging Data Cable	no_short_desc_ar_en, no_long_desc_ar, no_gender
7063	BF-58651	NULL	JOYROOM Series A14 USB-C to USB-C 60W Cable | S-A14	no_short_desc_ar_en, no_long_desc_ar, no_gender
7064	BF-58654	NULL	Joyroom Multi-Color Series A14 3A	no_short_desc_ar_en, no_long_desc_ar, no_gender
7065	BF-58657	NULL	Joyroom S-UC027A11 Surpass Series 3A	no_short_desc_ar_en, no_long_desc_ar, no_gender
7066	BF-58660	NULL	Joyroom USB Cable - Surpass Series 30W Fast Charging Braided	no_short_desc_ar_en, no_long_desc_ar, no_gender
7067	BF-58663	NULL	Joyroom S-H151 Adapter Type-C Male to USB - Silver	no_short_desc_ar_en, no_long_desc_ar, no_gender
7068	BF-58669	NULL	Joyroom S-H151 Adapter Type-C Male to USB black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7070	BF-58690	NULL	Joyroom JR-T03S Pro ANC-3rd Generation Luda version Normal Q	no_short_desc_ar_en, no_long_desc_ar, no_gender
7071	BF-58694	NULL	Joyroom JR-T03S PRO MAX Wireless Bluetooth Earphone	no_short_desc_ar_en, no_long_desc_ar, no_gender
7072	BF-58698	NULL	Joyroom JR-JH1 Headphones Hybrid ANC Wireless	no_short_desc_ar_en, no_long_desc_ar, no_gender
7075	BF-58709	NULL	JOYROOM JR-EW03 3.5mm In-Ear Metal Wired Earphone, Length: 1	no_short_desc_ar_en, no_long_desc_ar, no_gender
7078	BF-58718	NULL	Joyroom JR-ZS283 Adjastable Car Phone Holder - Black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7080	BF-58724	NULL	JOYROOM JR-OK6 Car Phone Mount (Windshield)	no_short_desc_ar_en, no_long_desc_ar, no_gender
7083	BF-58738	NULL	Joyroom car phone holder with flexible arm for dashboard or 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7085	BF-58744	NULL	Joyroom Jr-Zs259 Mechanical Car Holderdashboard- Black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7086	BF-58746	NULL	Joyroom JR-ZS259 Mechanical Air Vent Car Holder - 4.7"-6.9" 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7087	BF-58749	NULL	Joyroom Screen Protector for iPhone	no_short_desc_ar_en, no_long_desc_ar, no_gender
7088	BF-58755	NULL	Joyroom Screen Protector for iPhone 17 PRO	no_short_desc_ar_en, no_long_desc_ar, no_gender
7089	BF-58756	NULL	Joyroom Screen Protector for iPhone 17 AIR	no_short_desc_ar_en, no_long_desc_ar, no_gender
7090	BF-58757	NULL	Joyroom Screen Protector for iPhone 17	no_short_desc_ar_en, no_long_desc_ar, no_gender
7091	BF-58758	NULL	Joyroom Screen Protector for iPhone JR-MLG0276	no_short_desc_ar_en, no_long_desc_ar, no_gender
7092	BF-58759	NULL	Joyroom Screen Protector for iPhone JR-MLG0279	no_short_desc_ar_en, no_long_desc_ar, no_gender
7093	BF-58760	NULL	Joyroom Screen Protector for iPhone 17 PRO MAX	no_short_desc_ar_en, no_long_desc_ar, no_gender
7094	BF-58763	NULL	Joyroom Screen Protector for iPhone 17 AIR	no_short_desc_ar_en, no_long_desc_ar, no_gender
7095	BF-58766	NULL	Joyroom Screen Protector for iPhone 17	no_short_desc_ar_en, no_long_desc_ar, no_gender
7096	BF-58767	NULL	Joyroom Screen Protector for iPhone MLG0283	no_short_desc_ar_en, no_long_desc_ar, no_gender
7097	BF-58768	NULL	Joyroom Screen Protector for iPhone MLG0280	no_short_desc_ar_en, no_long_desc_ar, no_gender
7098	BF-58769	NULL	Joyroom Screen Protector for iPhone JR-Z24	no_short_desc_ar_en, no_long_desc_ar, no_gender
7099	BF-58773	NULL	Joyroom Screen Protector for iPhone JR-H04	no_short_desc_ar_en, no_long_desc_ar, no_gender
7100	BF-58774	NULL	Joyroom Screen Protector for iPhone JR-PF906	no_short_desc_ar_en, no_long_desc_ar, no_gender
7114	BF-58818	NULL	JOYROOM JR-ZS432 MagSafe Wallet, Slim Magnetic Card Holder	no_short_desc_ar_en, no_long_desc_ar, no_gender
7116	BF-58822	NULL	JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7117	BF-58825	NULL	JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen	no_short_desc_ar_en, no_long_desc_ar, no_gender
7119	BF-58828	NULL	Joyroom jr-bp560 excellent series portable passive stylus pe	no_short_desc_ar_en, no_long_desc_ar, no_gender
7120	BF-58830	NULL	Joyroom jr-bp560 excellent series portable passive stylus pe	no_short_desc_ar_en, no_long_desc_ar, no_gender
