verdict	product_id	wa_code	price_list_model	title_or_item
woo_NO_MATCH	7078	BF-58718		Joyroom JR-ZS283 Adjastable Car Phone Holder - Black
woo_NO_MATCH	7080	BF-58724		JOYROOM JR-OK6 Car Phone Mount (Windshield)
woo_NO_MATCH	7082	BF-58736		JR-ZS431 Bike Phone Mount Holder-Black
woo_MATCHED	7083	BF-58738	JR-ZS259	Joyroom car phone holder with flexible arm for dashboard or windshield; black (JR-ZS259)
woo_MATCHED	7084	BF-58741	JR-ZS259	JR-ZS259 Mechanical Car Holder 360 Degree Rotation Long Arm Cup Version Black
woo_MATCHED	7085	BF-58744	JR-ZS259	Joyroom Jr-Zs259 Mechanical Car Holderdashboard- Black
woo_MATCHED	7086	BF-58746	JR-ZS259	"Joyroom JR-ZS259 Mechanical Air Vent Car Holder - 4.7""-6.9"" - Black"
woo_NO_MATCH	7087	BF-58749		Joyroom Screen Protector for iPhone
woo_NO_MATCH	7088	BF-58755		Joyroom Screen Protector for iPhone 17 PRO
woo_NO_MATCH	7089	BF-58756		Joyroom Screen Protector for iPhone 17 AIR
woo_NO_MATCH	7090	BF-58757		Joyroom Screen Protector for iPhone 17
woo_NO_MATCH	7091	BF-58758		Joyroom Screen Protector for iPhone JR-MLG0276
woo_NO_MATCH	7092	BF-58759		Joyroom Screen Protector for iPhone JR-MLG0279
woo_NO_MATCH	7093	BF-58760		Joyroom Screen Protector for iPhone 17 PRO MAX
woo_NO_MATCH	7094	BF-58763		Joyroom Screen Protector for iPhone 17 AIR
woo_NO_MATCH	7095	BF-58766		Joyroom Screen Protector for iPhone 17
woo_NO_MATCH	7096	BF-58767		Joyroom Screen Protector for iPhone MLG0283
woo_NO_MATCH	7097	BF-58768		Joyroom Screen Protector for iPhone MLG0280
woo_NO_MATCH	7098	BF-58769		Joyroom Screen Protector for iPhone JR-Z24
woo_NO_MATCH	7099	BF-58773		Joyroom Screen Protector for iPhone JR-H04
woo_NO_MATCH	7100	BF-58774		Joyroom Screen Protector for iPhone JR-PF906
woo_NO_MATCH	7101	BF-58775		Privacy glass screen protector for Apple iPhone JR-Z36
woo_NO_MATCH	7103	BF-58779		Privacy glass screen protector for Apple iPhone JR-P04
woo_MATCHED	7104	BF-58780	JR-MST0158	Tablet Screen Protector JR-MST0158
woo_NO_MATCH	7106	BF-58783		Tablet Screen Protector JR-0160MST
woo_MATCHED	7107	BF-58784	JR-MST0159	Tablet Screen Protector JR-MST0159
woo_MATCHED	7108	BF-58785	JR-MST0164	Tablet Screen Protector JR-MST0164
woo_MATCHED	7109	BF-58786	JR-MST0161	Tablet Screen Protector JR-MST0161
woo_MATCHED	7110	BF-58787	JR-FC3	JR-FC3 Classic Series Smartwatch - Silver and Navy blue
woo_NO_MATCH	7111	BF-58794		JR-FS1 Lady Smart Watch (Answer/Make Call)
woo_NO_MATCH	7112	BF-58805		JR-FT5 Lady Smart Watch (Answer/Make Call)
woo_NO_MATCH	7113	BF-58808		JR-FT5 PLUS Lady Smart Watch (Answer/Make Call)
woo_MATCHED	7114	BF-58818	JR-ZS432	JOYROOM JR-ZS432 MagSafe Wallet; Slim Magnetic Card Holder
woo_NO_MATCH	7116	BF-58822		JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen - Black
woo_NO_MATCH	7117	BF-58825		JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen
woo_NO_MATCH	7119	BF-58828		Joyroom jr-bp560 excellent series portable passive stylus pen - white
woo_NO_MATCH	7120	BF-58830		Joyroom jr-bp560 excellent series portable passive stylus pen
pricelist_ONLY			JR-CCB01	81W Dual- Mic Car Wireless FM Transmitter -Black
pricelist_ONLY			JR-CCN01	60W 1A+1C Multi-Color
pricelist_ONLY			JR-CCN16	Mini QC+PD 15W Charger
pricelist_ONLY			JR-EC06	TYPE-C Series In- Ear Metal Wired
pricelist_ONLY			JR-EC07	TYPE-C Series Metal Half In-Ear
pricelist_ONLY			JR-EP1	Classic Wired Earphone
pricelist_ONLY			JR-HG2	Gaming Headset
pricelist_ONLY			JR-JH1	Hybrid ANC Wireless Headphon es
pricelist_ONLY			JR-K12 Pro	Active Dual- Mode Stylus Pen (Including 2 Spare Nibs)
pricelist_ONLY			JR-MJS0632 S26 ULTRA	Samsung Galaxy S26 Ultra 5G M 2.5D Full Screen Privacy Screen Protector
pricelist_ONLY			JR-MST0160	Tablet Screen Protector
pricelist_ONLY			JR-OK3	Dashboard
pricelist_ONLY			JR-PBF14	LED Power Bank 20000mAh
pricelist_ONLY			JR-PBF17	22.5W Fast Charging Power Bank with Type-C Cable 10000mAh- Black （With USB to Type-C Cable 0.25m
pricelist_ONLY			JR-PBM01	20W Magnetic Wireless Power Bank
pricelist_ONLY			JR-QP191 Mini	JR-QP191 Mini 22.5W Power Bank 10000mAh
pricelist_ONLY			JR-TCG15	30W PD mini GaN Charger
pricelist_ONLY			JR-TCL02	GaN 65W Charger with Retractable Cable(CN
pricelist_ONLY			JR-TF4	JR-TF4 18W 1M
pricelist_ONLY			JR-TF4 A-C	JR-TF4 18W 1M
pricelist_ONLY			JR-TF4 A-L	JR-TF4 18W 1M
pricelist_ONLY			JR-TF4 A-M	JR-TF4 18W 1M
pricelist_ONLY			JR-TG10	Multi USB Charger GaN65W with Cable USB-C to USB-C 100W 1.2m
pricelist_ONLY			JR-TG7 33W C-C	Dual Port Fast Charger with C-C 60W Cable
pricelist_ONLY			JR-TG7 33W C-L	Dual Port Fast Charger with C-L 30W Cable
pricelist_ONLY			JR-TO1	GaN Charger (45W)
pricelist_ONLY			JR-W050	20W Magnetic Wireless Power Bank with Built-in Cable&Kick stand 10000mAh
pricelist_ONLY			JR-W23	Qi2 4-in-1 Wireless Charger
pricelist_ONLY			JR-ZS341	Wireless Car Charger Holder with Gradient light (Air Vent)
pricelist_ONLY			Pro iP16Plus /ip15Plus/Ip1	Tempere d Glass Screen Protector (2.5D Full
pricelist_ONLY			S-A11 0.25M	Surpass Series 30W
pricelist_ONLY			S-A14 1.2	Multi- Color Series 60W Fas
pricelist_ONLY			S-A28 1m	Flash Series 3A Fast Charging Data Cable
pricelist_ONLY			SA31-C	Pioneer Series 100W 1.2m
pricelist_ONLY			S-A42 1.2m	Crystal- Clear Series 30W Fast Charging
pricelist_ONLY			S-A43	Crystal- Clear Series 60W
pricelist_ONLY			S-A51	Cutting- Edge Series 3A Fast Charging
pricelist_ONLY			S-A55 1.2m	StarFligh t Series 100W Auto Power- Off Fast Charging
pricelist_ONLY			S-A59	Vibrant Series 30W
pricelist_ONLY			S-A60	StarTalk Series 3A
pricelist_ONLY			S-A61	3 in 1 Charging Cable, Length: 1.2m
pricelist_ONLY			S-A9 1m	Long- Lasting Series 3.A 1m
pricelist_ONLY			S-A9 2m	Long- Lasting Series 3.A 2m
pricelist_ONLY			S-H152	USB male to Type-C female adapter- 2pcs
pricelist_NOT_A_SKU			"4 ProMax iP 15 Pro Max 6.7"""	Screen with Black Edge) (Privacy+ Dustproof
pricelist_NOT_A_SKU			iP11	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP11Pro	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP11ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP12 Pro /iP12	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP12 ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP13Pro/ iP13/iP14/ iP16e	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP14Plus/ iP13ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			"iP 14 ProMax 6.7"")"	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP 15 Pro	Screen with Black Edge) (Privacy+ Dustproof
pricelist_NOT_A_SKU			"(iP 15 Pro 6.1"")"	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			"(iP 15 ProMax 6.7"")"	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP16 /ip15/Ip14	Tempere d Glass Screen Protector (2.5D Full
pricelist_NOT_A_SKU			iP16 /ip15/Ip14 Pro	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP16Plus /ip15Plus/Ip1 4 ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP16 Pro	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP16 ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP17	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP17 Air	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			iP17Pro	Tempere d Glass Screen Protector (2.5D Full
pricelist_NOT_A_SKU			iP17ProMax	Screen Protector High Aluminiu HD
pricelist_NOT_A_SKU			MODEL NO.	ITEM
